,0,degree
0,百分之百,2
1,倍加,2
2,备至,2
3,不得了,2
4,不堪,2
5,不可开交,2
6,不亦乐乎,2
7,不折不扣,2
8,彻头彻尾,2
9,充分,2
10,到头,2
11,地地道道,2
12,非常,2
13,极,2
14,极度,2
15,极端,2
16,极其,2
17,极为,2
18,截然,2
19,尽,2
20,惊人地,2
21,绝,2
22,绝顶,2
23,绝对,2
24,绝对化,2
25,刻骨,2
26,酷,2
27,满,2
28,满贯,2
29,满心,2
30,莫大,2
31,奇,2
32,入骨,2
33,甚为,2
34,十二分,2
35,十分,2
36,十足,2
37,死,2
38,滔天,2
39,痛,2
40,透,2
41,完全,2
42,完完全全,2
43,万,2
44,万般,2
45,万分,2
46,万万,2
47,无比,2
48,无度,2
49,无可估量,2
50,无以复加,2
51,无以伦比,2
52,要命,2
53,要死,2
54,已极,2
55,已甚,2
56,异常,2
57,逾常,2
58,贼,2
59,之极,2
60,之至,2
61,至极,2
62,卓绝,2
63,最为,2
64,佼佼,2
65,郅,2
66,綦,2
67,齁,2
68,最,2
